country_code,country,latitude,longitude,f_total,f_ggbn,f_barcodes,f_both,f_neither,f_unique,g_total,g_ggbn,g_barcodes,g_both,g_neither,g_unique,s_total,s_ggbn,s_barcodes,s_both,s_neither,s_unique
BD,Bangladesh,23.684994,90.356331,208,29,14,9,156,0,473,91,53,104,225,2,620,114,135,244,127,10
CN,China,35.86166,104.195397,515,70,45,53,347,17,2122,345,237,680,860,166,5216,622,640,2959,995,1246
GE,Georgia,42.315407,43.356892,110,8,7,1,94,1,217,45,9,30,133,17,281,63,12,101,105,88
ID,Indonesia,-0.789275,113.921327,576,72,75,82,347,18,2729,345,430,1088,866,422,8311,704,1090,5491,1026,3095
IN,India,20.593684,78.96288,526,64,51,72,339,16,2243,315,288,735,905,163,5369,589,780,2971,1029,1215
JP,Japan,36.204824,138.252924,563,88,48,82,345,24,2145,412,209,628,896,176,5252,797,528,2814,1113,1099
KR,"Korea, Republic of",35.907757,127.766922,291,36,15,17,223,0,714,143,42,138,391,10,1186,196,113,520,357,75
NP,Nepal,28.394857,84.124008,184,24,25,11,124,1,632,82,91,195,264,35,1201,117,292,572,220,168
PH,Philippines,12.879721,121.774017,487,59,44,61,323,4,1944,267,253,610,814,119,5743,613,693,3427,1010,1418
PK,Pakistan,30.375321,69.345116,281,26,18,15,222,3,778,116,73,190,399,24,1351,166,203,647,335,201
TH,Thailand,15.870032,100.992541,401,51,33,40,277,7,1610,250,213,479,668,47,4005,457,630,2160,758,562
TW,Taiwan,23.69781,120.960515,384,45,29,24,286,0,1286,198,142,275,671,15,2722,370,376,1244,732,208
VN,Vietnam,14.058324,108.277199,384,44,32,37,271,1,1439,222,177,436,604,30,3062,377,453,1613,619,342
